path,runtype,num_md_sims,time_percent_micro,time_percent_macro,time_percent_filter,time_percent_other,walltime_total,walltime_total_sec,md_size
part2_60/multimd1,multimd,1,99.2524,0.528692,2.94199e-05,0.218849,00:12:14,734,60
part2_60/multimd2,multimd,2,98.6689,0.52201,3.55916e-05,0.809054,00:12:11,731,60
part2_60/multimd4,multimd,4,96.8949,0.50296,2.91694e-05,2.60215,00:12:06,726,60
part2_60/multimd8,multimd,8,96.5117,0.578083,2.65265e-05,2.91019,00:12:24,744,60
part2_60/multimd16,multimd,16,95.9728,0.550672,3.46185e-05,3.4765,00:12:28,748,60
part2_60/multimd32,multimd,32,93.2473,0.489676,3.52537e-05,6.26296,00:12:48,768,60
part2_60/multimd64,multimd,64,88.2544,0.587938,3.30609e-05,11.1576,00:13:24,804,60
part2_60/multimd128,multimd,128,80.7282,0.401416,3.00762e-05,18.8704,00:14:31,871,60
part2_60/filter1,filter,1,99.266,0.519986,3.10484e-05,0.214001,00:11:54,714,60
part2_60/filter2,filter,2,98.8974,0.508705,4.44402e-05,0.59383,00:12:03,723,60
part2_60/filter4,filter,4,96.9246,0.503897,3.28437e-05,2.57145,00:12:10,730,60
part2_60/filter8,filter,8,97.4875,0.555003,2.78764e-05,1.95743,00:12:20,740,60
part2_60/filter16,filter,16,94.6615,0.590184,2.63232e-05,4.74833,00:12:29,749,60
part2_60/filter32,filter,32,90.1158,0.462291,2.65829e-05,9.42188,00:13:05,785,60
part2_60/filter64,filter,64,85.0926,0.426007,3.73951e-05,14.4813,00:13:51,831,60
part2_60/filter128,filter,128,81.0682,0.406628,1.98179e-05,18.5252,00:14:38,878,60
part2_60/multimd1_2,multimd,1,99.2509,0.530984,3.16825e-05,0.218044,00:12:14,734,60
part2_60/multimd1_3,multimd,1,99.2551,0.528481,3.71242e-05,0.216385,00:12:11,731,60
part2_60/multimd2_3,multimd,2,98.9923,0.527735,3.06092e-05,0.479924,00:12:09,729,60
part2_60/multimd2_2,multimd,2,98.9152,0.517276,3.62076e-05,0.567454,00:12:08,728,60
part2_60/multimd4_2,multimd,4,97.7077,0.503942,3.39554e-05,1.78832,00:12:02,722,60
part2_60/multimd4_3,multimd,4,96.8949,0.50296,2.91694e-05,2.60215,00:12:06,726,60
part2_60/multimd8_3,multimd,8,97.4735,0.52105,3.57104e-05,2.00543,00:12:13,733,60
part2_60/multimd8_2,multimd,8,97.7279,0.52228,3.98566e-05,1.74975,00:12:14,734,60
part2_60/multimd16_2,multimd,16,94.7442,0.497794,2.69583e-05,4.758,00:12:24,744,60
part2_60/multimd16_3,multimd,16,96.1705,0.511636,3.72987e-05,3.31783,00:12:24,744,60
part2_60/multimd32_3,multimd,32,91.8958,0.516552,3.11117e-05,7.58763,00:12:47,767,60
part2_60/multimd32_2,multimd,32,93.5068,0.493813,3.42937e-05,5.99935,00:12:54,774,60
part2_60/multimd64_2,multimd,64,88.6782,0.464281,3.74639e-05,10.8575,00:13:22,802,60
part2_60/multimd64_3,multimd,64,87.8771,0.522914,3.28774e-05,11.6,00:13:24,804,60
part2_60/multimd128_3,multimd,128,80.5128,0.397555,3.34176e-05,19.0896,00:14:42,882,60
part2_60/multimd128_2,multimd,128,81.9451,0.397813,3.34587e-05,17.6571,00:15:01,901,60
part2_60/filter1_2,filter,1,99.2752,0.51492,3.7861e-05,0.209832,00:12:08,728,60
part2_60/filter1_3,filter,1,99.2563,0.5257,3.68085e-05,0.217934,00:11:57,717,60
part2_60/filter2_3,filter,2,98.8974,0.508705,4.44402e-05,0.59383,00:12:03,723,60
part2_60/filter2_2,filter,2,96.2896,0.502084,3.92818e-05,3.20823,00:12:17,737,60
part2_60/filter4_2,filter,4,96.9246,0.503897,3.28437e-05,2.57145,00:12:10,730,60
part2_60/filter4_3,filter,4,96.9246,0.503897,3.28437e-05,2.57145,00:12:10,730,60
part2_60/filter8_3,filter,8,96.7854,0.499273,2.84173e-05,2.71529,00:12:06,726,60
part2_60/filter8_2,filter,8,97.7887,0.512877,2.76248e-05,1.69843,00:12:19,739,60
part2_60/filter16_2,filter,16,96.1353,0.497138,3.16352e-05,3.36752,00:12:16,736,60
part2_60/filter16_3,filter,16,95.4728,0.50579,2.32874e-05,4.02135,00:12:18,738,60
part2_60/filter32_3,filter,32,92.2066,0.484453,2.33955e-05,7.3089,00:12:42,762,60
part2_60/filter32_2,filter,32,93.0254,0.493769,3.54759e-05,6.48083,00:12:49,769,60
part2_60/filter64_2,filter,64,88.1976,0.450701,3.61994e-05,11.3517,00:13:30,810,60
part2_60/filter64_3,filter,64,87.7698,0.441526,3.28619e-05,11.7887,00:13:24,804,60
part2_60/filter128_3,filter,128,80.5791,0.402639,4.94454e-05,19.0182,00:14:42,882,60
part2_60/filter128_2,filter,128,80.7709,0.399615,3.69242e-05,18.8294,00:14:43,883,60
part2/filter1_2,filter,1,99.3093,0.422102,9.41116e-05,0.26846,02:08:01,7681,120
part2/filter128_2,filter,128,71.5761,0.310626,5.97213e-05,28.1132,02:55:12,10512,120
part2/filter128_3,filter,128,69.599,0.298638,6.06519e-05,30.1023,02:58:19,10699,120
part2/filter1_3,filter,1,99.3154,0.42793,7.95906e-05,0.256631,02:09:29,7769,120
part2/filter16_2,filter,16,94.0528,0.402726,7.63529e-05,5.54441,02:12:27,7947,120
part2/filter16_3,filter,16,95.2394,0.417535,7.18264e-05,4.34303,02:14:09,8049,120
part2/filter2_2,filter,2,99.0817,0.42517,8.38292e-05,0.493075,02:09:33,7773,120
part2/filter2_3,filter,2,98.438,0.413951,8.8631e-05,1.148,02:10:12,7812,120
part2/filter32_2,filter,32,92.3664,0.394192,8.63654e-05,7.23927,02:17:54,8274,120
part2/filter32_3,filter,32,92.5668,0.397202,7.91219e-05,7.03594,02:17:36,8256,120
part2/filter4_2,filter,4,98.5914,0.418477,7.74147e-05,0.989998,02:10:03,7803,120
part2/filter4_3,filter,4,97.3093,0.416172,7.80887e-05,2.27448,02:09:59,7799,120
part2/filter64_2,filter,64,86.8799,0.372506,7.15026e-05,12.7475,02:23:19,8599,120
part2/filter64_3,filter,64,86.5353,0.370684,7.52684e-05,13.094,02:24:02,8642,120
part2/filter8_2,filter,8,97.1111,0.420433,7.78547e-05,2.4684,02:10:59,7859,120
part2/filter8_3,filter,8,96.8753,0.413263,7.93486e-05,2.71132,02:10:57,7857,120
part2/multimd1_2,multimd,1,99.3129,0.425296,2.28195e-06,0.261846,02:07:54,7674,120
part2/multimd128_2,multimd,128,67.8815,0.289103,1.95578e-06,31.8294,03:04:18,11058,120
