filename,domain_size,energy_consumption_kWh,wall_time,cpu_time
"output_full-md-100_161703.log",100,0.59,00:54:10,2-16:33:40
"output_full-md-100_161713.log",100,0.58,00:53:48,2-16:06:21
"output_full-md-100_161723.log",100,0.59,00:53:35,2-15:56:04
"output_full-md-110_161756.log",110,0.75,01:09:32,3-10:59:10
"output_full-md-110_161766.log",110,0.73,01:07:30,3-08:27:30
"output_full-md-110_161776.log",110,0.75,01:08:55,3-10:10:27
"output_full-md-120_161704.log",120,0.99,01:31:30,4-13:09:08
"output_full-md-120_161714.log",120,1.01,01:32:24,4-14:12:27
"output_full-md-120_161724.log",120,1.02,01:33:47,4-15:57:12
"output_full-md-130_161757.log",130,1.25,01:55:25,5-17:42:14
"output_full-md-130_161767.log",130,1.25,01:54:47,5-16:57:37
"output_full-md-130_161777.log",130,1.25,01:54:55,5-17:08:09
"output_full-md-140_161705.log",140,1.61,02:28:38,7-09:28:09
"output_full-md-140_161715.log",140,1.64,02:31:17,7-12:37:30
"output_full-md-140_161725.log",140,1.65,02:29:36,7-10:40:07
"output_full-md-150_161758.log",150,1.86,02:50:37,8-11:37:58
"output_full-md-150_161768.log",150,1.89,02:51:48,8-13:02:30
"output_full-md-150_161778.log",150,1.89,02:53:06,8-14:33:53
"output_full-md-160_161706.log",160,2.29,03:28:58,10-09:24:33
"output_full-md-160_161716.log",160,2.24,03:26:01,10-05:57:00
"output_full-md-160_161726.log",160,2.26,03:26:30,10-06:32:27
"output_full-md-170_161759.log",170,2.69,04:05:49,12-05:24:49
"output_full-md-170_161769.log",170,2.71,04:07:26,12-07:21:02
"output_full-md-170_161779.log",170,2.64,04:03:21,12-02:30:19
"output_full-md-180_161707.log",180,3.20,04:52:25,14-13:07:32
"output_full-md-180_161717.log",180,3.19,04:50:43,14-11:04:18
"output_full-md-180_161727.log",180,3.20,04:52:57,14-13:47:38
"output_full-md-190_161760.log",190,3.60,05:30:07,16-10:07:55
"output_full-md-190_161770.log",190,3.62,05:31:54,16-12:19:04
"output_full-md-190_161780.log",190,3.64,05:31:24,16-11:40:53
"output_full-md-200_161708.log",200,4.27,06:23:59,19-02:34:33
"output_full-md-200_161718.log",200,4.27,06:28:14,19-07:41:16
"output_full-md-200_161728.log",200,4.22,06:23:53,19-02:29:06
"output_full-md-20_161709.log",20,0.01,00:00:55,01:03:54
"output_full-md-20_161719.log",20,0.01,00:00:59,01:03:17
"output_full-md-20_161729.log",20,0.01,00:00:58,01:03:00
"output_full-md-210_161761.log",210,4.86,07:28:15,22-07:24:56
"output_full-md-210_161771.log",210,4.93,07:29:08,22-08:27:30
"output_full-md-210_161781.log",210,4.88,07:29:28,22-08:52:47
"output_full-md-30_161762.log",30,0.02,00:01:58,02:12:31
"output_full-md-30_161772.log",30,0.02,00:01:59,02:14:40
"output_full-md-30_161782.log",30,0.02,00:01:58,02:13:15
"output_full-md-40_161710.log",40,0.04,00:03:57,04:34:12
"output_full-md-40_161720.log",40,0.04,00:04:00,04:38:11
"output_full-md-40_161730.log",40,0.04,00:03:56,04:37:48
"output_full-md-50_161763.log",50,0.07,00:06:22,07:27:20
"output_full-md-50_161773.log",50,0.07,00:06:25,07:31:56
"output_full-md-50_161783.log",50,0.07,00:06:27,07:33:54
"output_full-md-60_161711.log",60,0.12,00:11:28,13:33:33
"output_full-md-60_161721.log",60,0.12,00:11:32,13:38:34
"output_full-md-60_161731.log",60,0.12,00:11:32,13:37:33
"output_full-md-70_161764.log",70,0.20,00:18:21,21:43:41
"output_full-md-70_161774.log",70,0.20,00:18:14,21:36:37
"output_full-md-70_161784.log",70,0.20,00:18:26,21:51:13
"output_full-md-80_161712.log",80,0.31,00:27:57,1-09:14:08
"output_full-md-80_161722.log",80,0.31,00:27:57,1-09:18:46
"output_full-md-80_161732.log",80,0.31,00:28:05,1-09:23:44
"output_full-md-90_161765.log",90,0.43,00:38:51,1-22:13:53
"output_full-md-90_161775.log",90,0.43,00:38:55,1-22:24:11
"output_full-md-90_161785.log",90,0.43,00:39:41,1-23:14:22
